                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1539,                 7.7132,                 1.8495,                0.00136,                0.26667,                0.00093,                0.00035,                    nan,                    nan,                    nan,                0.00064,                0.00064,                0.00064
                      2,                 2.6834,                 3.5915,                 2.3355,                0.00136,                0.26667,                0.00093,                0.00035,                    nan,                    nan,                    nan,              0.0012936,              0.0012936,              0.0012936
                      3,                 3.0665,                 3.5298,                 2.6336,                0.00136,                0.26667,                0.00093,                0.00035,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      4,                 2.9938,                  3.316,                  2.561,                0.00015,                0.04444,                0.00012,                  7e-05,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.8727,                 3.1625,                 2.4755,                0.00015,                0.04444,                0.00012,                  7e-05,                      0,                0.00537,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.7513,                 3.0657,                 2.4936,                 0.0011,                0.02222,                0.00031,                  3e-05,                    nan,                    nan,                    nan,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.7199,                 3.1324,                 2.4681,                0.00167,                    0.2,                0.07844,                0.00994,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.6776,                 3.0534,                 2.4796,                0.02135,                0.04444,                0.00727,                0.00295,                 3.0355,                  8.038,                 3.3023,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.5867,                 2.9948,                 2.3453,                0.00276,                0.77778,                0.05294,                  0.013,                 2.9996,                 4.5013,                  2.646,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.5197,                 2.8593,                 2.3681,                0.02552,                0.17778,                0.02247,                0.00807,                 2.8434,                 15.348,                 2.5725,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.6839,                 3.0109,                 2.3626,                0.04532,                0.48889,                0.07822,                0.02235,                 2.6926,                 3.5299,                 2.4111,               0.001901,               0.001901,               0.001901
