                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2155,                 3.1168,                 1.9686,                0.33084,                0.18182,                0.16765,                0.07248,                 2.0243,                 3.5243,                 1.7776,                0.00012,                0.00012,                0.00012
                      2,                 2.0248,                 2.8378,                  1.688,                0.25152,                0.42857,                0.21162,                0.07008,                 2.1022,                 7.5965,                 1.7938,             0.00025871,             0.00025871,             0.00025871
                      3,                 1.9015,                 2.9409,                 1.6348,                0.00112,                0.03896,                0.00058,                0.00031,                    nan,                    nan,                    nan,             0.00039604,             0.00039604,             0.00039604
                      4,                 1.9655,                 4.1219,                 1.6535,                 0.0046,                0.15584,                0.00262,                0.00106,                    nan,                    nan,                    nan,             0.00053198,             0.00053198,             0.00053198
                      5,                 2.0469,                 2.3967,                 1.9788,                0.04589,                 0.2987,                0.02749,                0.01047,                    nan,                    nan,                    nan,             0.00066654,             0.00066654,             0.00066654
                      6,                 2.0027,                 2.6718,                 1.9459,                0.00982,                0.31169,                0.00635,                0.00258,                    nan,                    nan,                    nan,             0.00079971,             0.00079971,             0.00079971
                      7,                 2.0137,                 2.2053,                 1.9458,                0.01365,                0.36364,                 0.0098,                0.00344,                    nan,                    nan,                    nan,             0.00093149,             0.00093149,             0.00093149
                      8,                 1.9628,                 2.1577,                 1.9148,                0.01453,                0.48052,                0.01167,                0.00492,                    nan,                    nan,                    nan,              0.0010619,              0.0010619,              0.0010619
                      9,                 2.0935,                  2.555,                 2.0107,                0.03578,                0.37662,                0.02443,                0.00908,                    nan,                    nan,                    nan,              0.0011909,              0.0011909,              0.0011909
                     10,                  2.261,                 2.4646,                 2.0948,                0.00119,                0.03896,                0.00058,                0.00015,                    nan,                    nan,                    nan,              0.0013185,              0.0013185,              0.0013185
                     11,                 2.2678,                 2.2793,                 2.1073,                0.00208,                0.06494,                0.00111,                0.00035,                    nan,                    nan,                    nan,              0.0014448,              0.0014448,              0.0014448
                     12,                 2.4209,                 2.3871,                 2.2419,                0.00074,                0.02597,                0.00076,                0.00015,                    nan,                    nan,                    nan,              0.0015696,              0.0015696,              0.0015696
                     13,                 2.0583,                 2.1236,                  1.948,                 0.0015,                0.05195,                0.00078,                0.00025,                    nan,                    nan,                    nan,              0.0016931,              0.0016931,              0.0016931
                     14,                 2.3664,                 2.3224,                 2.1261,                 0.0015,                0.05195,                0.00078,                0.00025,                    nan,                    nan,                    nan,              0.0018152,              0.0018152,              0.0018152
                     15,                 2.0137,                 3.7093,                 1.8882,                 0.0015,                0.05195,                0.00078,                0.00025,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     16,                  2.384,                 2.6784,                 2.1123,                 0.0015,                0.05195,                0.00078,                0.00025,                    nan,                    nan,                    nan,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.3581,                 2.5842,                  2.152,                0.00185,                0.06494,                0.00099,                0.00033,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     18,                  2.265,                 2.2604,                 2.1229,                0.00226,                0.07792,                 0.0012,                0.00045,                    nan,                    nan,                    nan,              0.0018317,              0.0018317,              0.0018317
